event_id,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,1,1,Cheeseburger,Poker Face,Poker Face,Cheeseburger,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,1,2,Cheeseburger,Poker Face,Poker Face,Cheeseburger,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,1,3,Cheeseburger,Poker Face,Poker Face,Cheeseburger,Numbani,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,2,1,Crazy Raccoon,ZETA DIVISION,ZETA DIVISION,Crazy Raccoon,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,2,2,Crazy Raccoon,ZETA DIVISION,ZETA DIVISION,Crazy Raccoon,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,2,3,Crazy Raccoon,ZETA DIVISION,Crazy Raccoon,ZETA DIVISION,Havana,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,2,4,Crazy Raccoon,ZETA DIVISION,ZETA DIVISION,Crazy Raccoon,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,3,1,ZAN Esports,ONSIDE GAMING,ZAN Esports,ONSIDE GAMING,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,3,2,ZAN Esports,ONSIDE GAMING,ONSIDE GAMING,ZAN Esports,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,3,3,ZAN Esports,ONSIDE GAMING,ONSIDE GAMING,ZAN Esports,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
