event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2025_apac_championship,international,2025,APAC Championship,[MANUAL],[MANUAL],[MANUAL],1,1,VARREL,REJECT,VARREL,REJECT,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/APAC,liquipedia_scraper_draft
owcs_2025_apac_championship,international,2025,APAC Championship,[MANUAL],[MANUAL],[MANUAL],1,2,VARREL,REJECT,VARREL,REJECT,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/APAC,liquipedia_scraper_draft
owcs_2025_apac_championship,international,2025,APAC Championship,[MANUAL],[MANUAL],[MANUAL],1,3,VARREL,REJECT,VARREL,REJECT,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/APAC,liquipedia_scraper_draft
owcs_2025_apac_championship,international,2025,APAC Championship,[MANUAL],[MANUAL],[MANUAL],2,1,Nosebleed Esports,The Gatos Guapos,Nosebleed Esports,The Gatos Guapos,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/APAC,liquipedia_scraper_draft
owcs_2025_apac_championship,international,2025,APAC Championship,[MANUAL],[MANUAL],[MANUAL],2,2,Nosebleed Esports,The Gatos Guapos,Nosebleed Esports,The Gatos Guapos,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/APAC,liquipedia_scraper_draft
owcs_2025_apac_championship,international,2025,APAC Championship,[MANUAL],[MANUAL],[MANUAL],2,3,Nosebleed Esports,The Gatos Guapos,Nosebleed Esports,The Gatos Guapos,Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/APAC,liquipedia_scraper_draft
owcs_2025_apac_championship,international,2025,APAC Championship,[MANUAL],[MANUAL],[MANUAL],3,1,VARREL,Nosebleed Esports,VARREL,Nosebleed Esports,Busan,Control,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/APAC,liquipedia_scraper_draft
owcs_2025_apac_championship,international,2025,APAC Championship,[MANUAL],[MANUAL],[MANUAL],3,2,VARREL,Nosebleed Esports,VARREL,Nosebleed Esports,King's Row,Hybrid,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/APAC,liquipedia_scraper_draft
owcs_2025_apac_championship,international,2025,APAC Championship,[MANUAL],[MANUAL],[MANUAL],3,3,VARREL,Nosebleed Esports,Nosebleed Esports,VARREL,Esperança,Push,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/APAC,liquipedia_scraper_draft
owcs_2025_apac_championship,international,2025,APAC Championship,[MANUAL],[MANUAL],[MANUAL],3,4,VARREL,Nosebleed Esports,VARREL,Nosebleed Esports,Rialto,Escort,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/APAC,liquipedia_scraper_draft
owcs_2025_apac_championship,international,2025,APAC Championship,[MANUAL],[MANUAL],[MANUAL],3,5,VARREL,Nosebleed Esports,VARREL,Nosebleed Esports,Suravasa,Flashpoint,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/APAC,liquipedia_scraper_draft
