event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 25,2025-08-25,1,1,VARREL,Arise Project,VARREL,Arise Project,Busan,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 25,2025-08-25,1,2,VARREL,Arise Project,VARREL,Arise Project,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 25,2025-08-25,1,3,VARREL,Arise Project,VARREL,Arise Project,Junkertown,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 25,2025-08-25,2,1,Lazuli,Telomere,Telomere,Lazuli,Ilios,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 25,2025-08-25,2,2,Lazuli,Telomere,Lazuli,Telomere,Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 25,2025-08-25,2,3,Lazuli,Telomere,Lazuli,Telomere,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 25,2025-08-25,2,4,Lazuli,Telomere,Lazuli,Telomere,Esperança,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 25,2025-08-25,3,1,LostNever Gaming,99DIVINE,99DIVINE,LostNever Gaming,Busan,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 25,2025-08-25,3,2,LostNever Gaming,99DIVINE,99DIVINE,LostNever Gaming,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 25,2025-08-25,3,3,LostNever Gaming,99DIVINE,99DIVINE,LostNever Gaming,Junkertown,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 26,2025-08-26,4,1,Please Not Hero Ban,REJECT,REJECT,Please Not Hero Ban,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 26,2025-08-26,4,2,Please Not Hero Ban,REJECT,REJECT,Please Not Hero Ban,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 26,2025-08-26,4,3,Please Not Hero Ban,REJECT,Please Not Hero Ban,REJECT,Esperança,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 26,2025-08-26,4,4,Please Not Hero Ban,REJECT,Please Not Hero Ban,REJECT,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 26,2025-08-26,4,5,Please Not Hero Ban,REJECT,Please Not Hero Ban,REJECT,Rialto,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 26,2025-08-26,5,1,VEC,Hayabusa Gaming,VEC,Hayabusa Gaming,Ilios,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 26,2025-08-26,5,2,VEC,Hayabusa Gaming,VEC,Hayabusa Gaming,New Queen Street,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 26,2025-08-26,5,3,VEC,Hayabusa Gaming,VEC,Hayabusa Gaming,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 26,2025-08-26,6,1,Nyam Gaming,Toxic Hamster,Nyam Gaming,Toxic Hamster,Samoa,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 26,2025-08-26,6,2,Nyam Gaming,Toxic Hamster,Nyam Gaming,Toxic Hamster,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 26,2025-08-26,6,3,Nyam Gaming,Toxic Hamster,Toxic Hamster,Nyam Gaming,Esperança,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 26,2025-08-26,6,4,Nyam Gaming,Toxic Hamster,Toxic Hamster,Nyam Gaming,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 26,2025-08-26,6,5,Nyam Gaming,Toxic Hamster,Nyam Gaming,Toxic Hamster,Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 27,2025-08-27,7,1,99DIVINE,Arise Project,99DIVINE,Arise Project,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 27,2025-08-27,7,2,99DIVINE,Arise Project,99DIVINE,Arise Project,Junkertown,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 27,2025-08-27,7,3,99DIVINE,Arise Project,99DIVINE,Arise Project,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 27,2025-08-27,8,1,Telomere,REJECT,REJECT,Telomere,Busan,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
owcs_2025_asia_s3_japan,japan,2025,Stage 3,Week 1,August 27,2025-08-27,8,2,Telomere,REJECT,REJECT,Telomere,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_3/Japan/Regular_Season,group_stage_scrape
