event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 10th,2025-05-10,1,1,Gen.G,The Ultimates,The Ultimates,Gen.G,Ilios,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 10th,2025-05-10,1,2,Gen.G,The Ultimates,The Ultimates,Gen.G,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 10th,2025-05-10,1,3,Gen.G,The Ultimates,The Ultimates,Gen.G,Runasapi,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 10th,2025-05-10,2,1,Al Qadsiah,Twisted Minds,Al Qadsiah,Twisted Minds,Oasis,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 10th,2025-05-10,2,2,Al Qadsiah,Twisted Minds,Al Qadsiah,Twisted Minds,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 10th,2025-05-10,2,3,Al Qadsiah,Twisted Minds,Twisted Minds,Al Qadsiah,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 10th,2025-05-10,2,4,Al Qadsiah,Twisted Minds,Twisted Minds,Al Qadsiah,Colosseo,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 10th,2025-05-10,2,5,Al Qadsiah,Twisted Minds,Al Qadsiah,Twisted Minds,Dorado,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 11th,2025-05-11,3,1,Team Peps,Frost Tails Esport,Team Peps,Frost Tails Esport,Oasis,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 11th,2025-05-11,3,2,Team Peps,Frost Tails Esport,Team Peps,Frost Tails Esport,Dorado,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 11th,2025-05-11,3,3,Team Peps,Frost Tails Esport,Team Peps,Frost Tails Esport,Runasapi,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 11th,2025-05-11,4,1,Quick Esports,Virtus.Pro,Virtus.Pro,Quick Esports,Oasis,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 11th,2025-05-11,4,2,Quick Esports,Virtus.Pro,Quick Esports,Virtus.Pro,Circuit Royal,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 11th,2025-05-11,4,3,Quick Esports,Virtus.Pro,Quick Esports,Virtus.Pro,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 11th,2025-05-11,4,4,Quick Esports,Virtus.Pro,Virtus.Pro,Quick Esports,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 11th,2025-05-11,4,5,Quick Esports,Virtus.Pro,Virtus.Pro,Quick Esports,Runasapi,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
owcs_2025_emea_s2,emea,2025,Stage 2,Week 1,May 11th,2025-05-11,5,1,Al Qadsiah,The Ultimates,Al Qadsiah,The Ultimates,Oasis,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/EMEA/Stage_2/Regular_Season,group_stage_scrape
