event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],1,1,Team Falcons,ONSIDE GAMING,Team Falcons,ONSIDE GAMING,Ilios,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],1,2,Team Falcons,ONSIDE GAMING,ONSIDE GAMING,Team Falcons,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],1,3,Team Falcons,ONSIDE GAMING,ONSIDE GAMING,Team Falcons,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],1,4,Team Falcons,ONSIDE GAMING,Team Falcons,ONSIDE GAMING,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],1,5,Team Falcons,ONSIDE GAMING,Team Falcons,ONSIDE GAMING,Rialto,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],2,1,ZETA DIVISION,Team Falcons,Team Falcons,ZETA DIVISION,Ilios,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],2,2,ZETA DIVISION,Team Falcons,Team Falcons,ZETA DIVISION,Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],2,3,ZETA DIVISION,Team Falcons,ZETA DIVISION,Team Falcons,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],2,4,ZETA DIVISION,Team Falcons,Team Falcons,ZETA DIVISION,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],3,1,Crazy Raccoon,Team Falcons,Crazy Raccoon,Team Falcons,Ilios,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],3,2,Crazy Raccoon,Team Falcons,Team Falcons,Crazy Raccoon,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],3,3,Crazy Raccoon,Team Falcons,Crazy Raccoon,Team Falcons,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],3,4,Crazy Raccoon,Team Falcons,Team Falcons,Crazy Raccoon,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],3,5,Crazy Raccoon,Team Falcons,Team Falcons,Crazy Raccoon,Rialto,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],4,1,T1,WAE,WAE,T1,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],4,2,T1,WAE,T1,WAE,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
owcs_2025_korea_road_to_wf,international,2025,Korea Road to WF,[MANUAL],[MANUAL],[MANUAL],4,3,T1,WAE,T1,WAE,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2025/Asia/Stage_3/Championship/Korea,liquipedia_scraper_draft
