event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 6th,2025-09-06,1,1,ntmr,team liquid,ntmr,team liquid,Ilios,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 6th,2025-09-06,1,2,ntmr,team liquid,team liquid,ntmr,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 6th,2025-09-06,1,3,ntmr,team liquid,team liquid,ntmr,Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 6th,2025-09-06,1,4,ntmr,team liquid,team liquid,ntmr,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 6th,2025-09-06,2,1,sakura esports,spacestation gaming,spacestation gaming,sakura esports,Ilios,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 6th,2025-09-06,2,2,sakura esports,spacestation gaming,spacestation gaming,sakura esports,Rialto,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 6th,2025-09-06,2,3,sakura esports,spacestation gaming,spacestation gaming,sakura esports,Esperança,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 6th,2025-09-06,3,1,extinction,dhillducks,extinction,dhillducks,Ilios,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 6th,2025-09-06,3,2,extinction,dhillducks,extinction,dhillducks,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 6th,2025-09-06,3,3,extinction,dhillducks,extinction,dhillducks,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 7th,2025-09-07,4,1,geekay esports,Team Z,geekay esports,Team Z,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 7th,2025-09-07,4,2,geekay esports,Team Z,geekay esports,Team Z,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 7th,2025-09-07,4,3,geekay esports,Team Z,geekay esports,Team Z,Esperança,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 7th,2025-09-07,5,1,ntmr,spacestation gaming,ntmr,spacestation gaming,Ilios,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 7th,2025-09-07,5,2,ntmr,spacestation gaming,spacestation gaming,ntmr,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 7th,2025-09-07,5,3,ntmr,spacestation gaming,spacestation gaming,ntmr,New Queen Street,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 1,September 7th,2025-09-07,5,4,ntmr,spacestation gaming,spacestation gaming,ntmr,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 2,September 13,2025-09-13,6,1,Geekay esports,sakura esports,Geekay esports,sakura esports,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 2,September 13,2025-09-13,6,2,Geekay esports,sakura esports,Geekay esports,sakura esports,Esperança,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 2,September 13,2025-09-13,6,3,Geekay esports,sakura esports,Geekay esports,sakura esports,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 2,September 13,2025-09-13,7,1,extinction,team liquid,team liquid,extinction,Ilios,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 2,September 13,2025-09-13,7,2,extinction,team liquid,team liquid,extinction,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 2,September 13,2025-09-13,7,3,extinction,team liquid,team liquid,extinction,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 2,September 14th,2025-09-14,8,1,Team Z,spacestation gaming,spacestation gaming,Team Z,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 2,September 14th,2025-09-14,8,2,Team Z,spacestation gaming,spacestation gaming,Team Z,Esperança,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 2,September 14th,2025-09-14,8,3,Team Z,spacestation gaming,spacestation gaming,Team Z,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 2,September 14th,2025-09-14,9,1,ntmr,dhillducks,ntmr,dhillducks,Ilios,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 2,September 14th,2025-09-14,9,2,ntmr,dhillducks,ntmr,dhillducks,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 2,September 14th,2025-09-14,9,3,ntmr,dhillducks,ntmr,dhillducks,Hollywood,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 20th,2025-09-20,10,1,sakura esports,dhillducks,sakura esports,dhillducks,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 20th,2025-09-20,10,2,sakura esports,dhillducks,sakura esports,dhillducks,Hollywood,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 20th,2025-09-20,10,3,sakura esports,dhillducks,sakura esports,dhillducks,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 20th,2025-09-20,11,1,geekay esports,ntmr,geekay esports,ntmr,Samoa,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 20th,2025-09-20,11,2,geekay esports,ntmr,geekay esports,ntmr,New Queen Street,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 20th,2025-09-20,11,3,geekay esports,ntmr,geekay esports,ntmr,Junkertown,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 20th,2025-09-20,12,1,team liquid,spacestation gaming,team liquid,spacestation gaming,Ilios,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 20th,2025-09-20,12,2,team liquid,spacestation gaming,team liquid,spacestation gaming,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 20th,2025-09-20,12,3,team liquid,spacestation gaming,spacestation gaming,team liquid,Rialto,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 20th,2025-09-20,12,4,team liquid,spacestation gaming,spacestation gaming,team liquid,New Queen Street,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 20th,2025-09-20,12,5,team liquid,spacestation gaming,team liquid,spacestation gaming,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 21st,2025-09-21,13,1,dhillducks,Team Z,Team Z,dhillducks,Ilios,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 21st,2025-09-21,13,2,dhillducks,Team Z,Team Z,dhillducks,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 21st,2025-09-21,13,3,dhillducks,Team Z,Team Z,dhillducks,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 21st,2025-09-21,14,1,extinction,sakura esports,sakura esports,extinction,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
owcs_2025_na_s3,na,2025,Stage 3,Week 3,September 21st,2025-09-21,14,2,extinction,sakura esports,extinction,sakura esports,Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/NA/Stage_3/Regular_Season,group_stage_scrape
