event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-24,2026-04-24,1,1,ZETA DIVISION,ONSIDE GAMING,ZETA DIVISION,ONSIDE GAMING,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-24,2026-04-24,1,2,ZETA DIVISION,ONSIDE GAMING,ONSIDE GAMING,ZETA DIVISION,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-24,2026-04-24,1,3,ZETA DIVISION,ONSIDE GAMING,ZETA DIVISION,ONSIDE GAMING,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-24,2026-04-24,1,4,ZETA DIVISION,ONSIDE GAMING,ZETA DIVISION,ONSIDE GAMING,Havana,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-24,2026-04-24,2,1,Crazy Raccoon,Team Falcons,Crazy Raccoon,Team Falcons,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-24,2026-04-24,2,2,Crazy Raccoon,Team Falcons,Crazy Raccoon,Team Falcons,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-24,2026-04-24,2,3,Crazy Raccoon,Team Falcons,Crazy Raccoon,Team Falcons,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-25,2026-04-25,3,1,ZETA DIVISION,Team Falcons,ZETA DIVISION,Team Falcons,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-25,2026-04-25,3,2,ZETA DIVISION,Team Falcons,ZETA DIVISION,Team Falcons,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-25,2026-04-25,3,3,ZETA DIVISION,Team Falcons,Team Falcons,ZETA DIVISION,Numbani,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-25,2026-04-25,3,4,ZETA DIVISION,Team Falcons,ZETA DIVISION,Team Falcons,Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-25,2026-04-25,4,1,Crazy Raccoon,ONSIDE GAMING,Crazy Raccoon,ONSIDE GAMING,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-25,2026-04-25,4,2,Crazy Raccoon,ONSIDE GAMING,Crazy Raccoon,ONSIDE GAMING,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-25,2026-04-25,4,3,Crazy Raccoon,ONSIDE GAMING,Crazy Raccoon,ONSIDE GAMING,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-26,2026-04-26,5,1,ZETA DIVISION,Crazy Raccoon,ZETA DIVISION,Crazy Raccoon,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-26,2026-04-26,5,2,ZETA DIVISION,Crazy Raccoon,ZETA DIVISION,Crazy Raccoon,Havana,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-26,2026-04-26,5,3,ZETA DIVISION,Crazy Raccoon,ZETA DIVISION,Crazy Raccoon,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-26,2026-04-26,6,1,Team Falcons,ONSIDE GAMING,Team Falcons,ONSIDE GAMING,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-26,2026-04-26,6,2,Team Falcons,ONSIDE GAMING,Team Falcons,ONSIDE GAMING,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Seeding Decider,2026-04-26,2026-04-26,6,3,Team Falcons,ONSIDE GAMING,Team Falcons,ONSIDE GAMING,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Last Chance Qualifier,2026-04-24,2026-04-24,7,1,T1,ZAN Esports,T1,ZAN Esports,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Last Chance Qualifier,2026-04-24,2026-04-24,7,2,T1,ZAN Esports,T1,ZAN Esports,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Last Chance Qualifier,2026-04-24,2026-04-24,7,3,T1,ZAN Esports,T1,ZAN Esports,Havana,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Last Chance Qualifier,2026-04-25,2026-04-25,8,1,Poker Face,Cheeseburger,Cheeseburger,Poker Face,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Last Chance Qualifier,2026-04-25,2026-04-25,8,2,Poker Face,Cheeseburger,Poker Face,Cheeseburger,Rialto,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Last Chance Qualifier,2026-04-25,2026-04-25,8,3,Poker Face,Cheeseburger,Poker Face,Cheeseburger,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Last Chance Qualifier,2026-04-25,2026-04-25,8,4,Poker Face,Cheeseburger,Cheeseburger,Poker Face,Numbani,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Last Chance Qualifier,2026-04-25,2026-04-25,8,5,Poker Face,Cheeseburger,Cheeseburger,Poker Face,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Last Chance Qualifier,2026-04-26,2026-04-26,9,1,ZAN Esports,Cheeseburger,ZAN Esports,Cheeseburger,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Last Chance Qualifier,2026-04-26,2026-04-26,9,2,ZAN Esports,Cheeseburger,ZAN Esports,Cheeseburger,Rialto,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Last Chance Qualifier,2026-04-26,2026-04-26,9,3,ZAN Esports,Cheeseburger,ZAN Esports,Cheeseburger,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Regional Playoffs,2026-05-01,2026-05-01,10,1,ONSIDE GAMING,T1,T1,ONSIDE GAMING,Oasis,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Regional Playoffs,2026-05-01,2026-05-01,10,2,ONSIDE GAMING,T1,T1,ONSIDE GAMING,Havana,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Regional Playoffs,2026-05-01,2026-05-01,10,3,ONSIDE GAMING,T1,T1,ONSIDE GAMING,Numbani,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Regional Playoffs,2026-05-01,2026-05-01,10,4,ONSIDE GAMING,T1,T1,ONSIDE GAMING,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Regional Playoffs,2026-05-01,2026-05-01,11,1,Team Falcons,ZAN Esports,Team Falcons,ZAN Esports,Lijiang Tower,Control,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Regional Playoffs,2026-05-01,2026-05-01,11,2,Team Falcons,ZAN Esports,Team Falcons,ZAN Esports,Runasapi,Push,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Regional Playoffs,2026-05-01,2026-05-01,11,3,Team Falcons,ZAN Esports,Team Falcons,ZAN Esports,Havana,Hybrid,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Regional Playoffs,2026-05-01,2026-05-01,11,4,Team Falcons,ZAN Esports,Team Falcons,ZAN Esports,Blizzard World,Hybrid,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
owcs_2026_asia_s1_korea_playoffs,korea,2026,Stage 1,Regional Playoffs,2026-05-02,2026-05-02,12,1,ZETA DIVISION,T1,ZETA DIVISION,T1,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,liquipedia_playoff_parse
