event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-05,2026-05-05,1,1,ZETA DIVISION,T1,ZETA DIVISION,T1,Lijiang Tower,Control,bo3,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-05,2026-05-05,1,2,ZETA DIVISION,T1,T1,ZETA DIVISION,Aatlis,Flashpoint,bo3,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-05,2026-05-05,1,3,ZETA DIVISION,T1,ZETA DIVISION,T1,Blizzard World,Hybrid,bo3,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-05,2026-05-05,2,1,Team Falcons,Crazy Raccoon,Crazy Raccoon,Team Falcons,Oasis,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-05,2026-05-05,2,2,Team Falcons,Crazy Raccoon,Crazy Raccoon,Team Falcons,Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-05,2026-05-05,3,1,ENTER FORCE.36,The Gatos Guapos,ENTER FORCE.36,The Gatos Guapos,Oasis,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-05,2026-05-05,3,2,ENTER FORCE.36,The Gatos Guapos,ENTER FORCE.36,The Gatos Guapos,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-05,2026-05-05,4,1,VARREL,Please Not Hero Ban,VARREL,Please Not Hero Ban,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-05,2026-05-05,4,2,VARREL,Please Not Hero Ban,VARREL,Please Not Hero Ban,Esperanca,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-05,2026-05-05,5,1,ZETA DIVISION,ENTER FORCE.36,ZETA DIVISION,ENTER FORCE.36,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-05,2026-05-05,5,2,ZETA DIVISION,ENTER FORCE.36,ZETA DIVISION,ENTER FORCE.36,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-05,2026-05-05,6,1,Team Falcons,VARREL,VARREL,Team Falcons,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-05,2026-05-05,6,2,Team Falcons,VARREL,Team Falcons,VARREL,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-05,2026-05-05,6,3,Team Falcons,VARREL,Team Falcons,VARREL,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-06,2026-05-06,7,1,Crazy Raccoon,Please Not Hero Ban,Crazy Raccoon,Please Not Hero Ban,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-06,2026-05-06,7,2,Crazy Raccoon,Please Not Hero Ban,Crazy Raccoon,Please Not Hero Ban,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-06,2026-05-06,8,1,ZETA DIVISION,The Gatos Guapos,ZETA DIVISION,The Gatos Guapos,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-06,2026-05-06,8,2,ZETA DIVISION,The Gatos Guapos,ZETA DIVISION,The Gatos Guapos,Rialto,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-06,2026-05-06,9,1,Team Falcons,Please Not Hero Ban,Team Falcons,Please Not Hero Ban,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-06,2026-05-06,9,2,Team Falcons,Please Not Hero Ban,Team Falcons,Please Not Hero Ban,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-06,2026-05-06,10,1,T1,ENTER FORCE.36,T1,ENTER FORCE.36,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-06,2026-05-06,10,2,T1,ENTER FORCE.36,T1,ENTER FORCE.36,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
owcs_2026_asia_s1_main,international,2026,Stage 1,Group Stage,2026-05-06,2026-05-06,11,1,Crazy Raccoon,VARREL,VARREL,Crazy Raccoon,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1,liquipedia_scrape
