event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2026_asia_s1_pacific_playoffs,pacific,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-30,1,1,the gatos guapos,Quasar esports,the gatos guapos,Quasar esports,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Pacific,playoff_raw_fallback
owcs_2026_asia_s1_pacific_playoffs,pacific,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-30,1,2,the gatos guapos,Quasar esports,the gatos guapos,Quasar esports,Numbani,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Pacific,playoff_raw_fallback
owcs_2026_asia_s1_pacific_playoffs,pacific,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-30,1,3,the gatos guapos,Quasar esports,Quasar esports,the gatos guapos,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Pacific,playoff_raw_fallback
owcs_2026_asia_s1_pacific_playoffs,pacific,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-30,1,4,the gatos guapos,Quasar esports,the gatos guapos,Quasar esports,Havana,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Pacific,playoff_raw_fallback
owcs_2026_asia_s1_pacific_playoffs,pacific,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-30,2,1,team secret,Rankers,team secret,Rankers,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Pacific,playoff_raw_fallback
owcs_2026_asia_s1_pacific_playoffs,pacific,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-30,2,2,team secret,Rankers,team secret,Rankers,Rialto,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Pacific,playoff_raw_fallback
owcs_2026_asia_s1_pacific_playoffs,pacific,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-30,2,3,team secret,Rankers,team secret,Rankers,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Pacific,playoff_raw_fallback
owcs_2026_asia_s1_pacific_playoffs,pacific,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-30,3,1,the gatos guapos,team secret,the gatos guapos,team secret,Oasis,Control,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Pacific,playoff_raw_fallback
owcs_2026_asia_s1_pacific_playoffs,pacific,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-30,3,2,the gatos guapos,team secret,the gatos guapos,team secret,Midtown,Hybrid,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Pacific,playoff_raw_fallback
owcs_2026_asia_s1_pacific_playoffs,pacific,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-30,3,3,the gatos guapos,team secret,team secret,the gatos guapos,Runasapi,Push,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Pacific,playoff_raw_fallback
owcs_2026_asia_s1_pacific_playoffs,pacific,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-30,3,4,the gatos guapos,team secret,the gatos guapos,team secret,Havana,Escort,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Pacific,playoff_raw_fallback
owcs_2026_asia_s1_pacific_playoffs,pacific,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-30,3,5,the gatos guapos,team secret,the gatos guapos,team secret,Lijiang Tower,Control,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Pacific,playoff_raw_fallback
owcs_2026_asia_s1_pacific_playoffs,pacific,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-30,3,6,the gatos guapos,team secret,team secret,the gatos guapos,Lijiang Tower,Control,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Pacific,playoff_raw_fallback
owcs_2026_asia_s1_pacific_playoffs,pacific,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-30,3,7,the gatos guapos,team secret,team secret,the gatos guapos,Numbani,Hybrid,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Pacific,playoff_raw_fallback
owcs_2026_asia_s1_pacific_playoffs,pacific,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-30,3,8,the gatos guapos,team secret,team secret,the gatos guapos,Runasapi,Push,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Pacific,playoff_raw_fallback
