event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2026_china_s1_playoffs,china,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-25,1,1,weibo gaming,solus victorem,weibo gaming,solus victorem,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/China/Stage_1,playoff_raw_fallback
owcs_2026_china_s1_playoffs,china,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-25,1,2,weibo gaming,solus victorem,weibo gaming,solus victorem,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/China/Stage_1,playoff_raw_fallback
owcs_2026_china_s1_playoffs,china,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-25,1,3,weibo gaming,solus victorem,weibo gaming,solus victorem,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/China/Stage_1,playoff_raw_fallback
owcs_2026_china_s1_playoffs,china,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-25,2,1,ag,jdg,ag,jdg,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/China/Stage_1,playoff_raw_fallback
owcs_2026_china_s1_playoffs,china,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-25,2,2,ag,jdg,ag,jdg,Numbani,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/China/Stage_1,playoff_raw_fallback
owcs_2026_china_s1_playoffs,china,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-25,2,3,ag,jdg,ag,jdg,Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/China/Stage_1,playoff_raw_fallback
owcs_2026_china_s1_playoffs,china,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-25,3,1,weibo gaming,ag,weibo gaming,ag,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/China/Stage_1,playoff_raw_fallback
owcs_2026_china_s1_playoffs,china,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-25,3,2,weibo gaming,ag,ag,weibo gaming,Havana,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/China/Stage_1,playoff_raw_fallback
owcs_2026_china_s1_playoffs,china,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-25,3,3,weibo gaming,ag,weibo gaming,ag,Numbani,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/China/Stage_1,playoff_raw_fallback
owcs_2026_china_s1_playoffs,china,2026,Stage 1,Regional Playoffs,[MANUAL],2026-04-25,3,4,weibo gaming,ag,weibo gaming,ag,Esperanca,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/China/Stage_1,playoff_raw_fallback
