event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,1,1,ENCE,Fnatic,ENCE,Fnatic,Lijiang Tower,Control,bo7,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,1,2,ENCE,Fnatic,Fnatic,ENCE,Suravasa,Flashpoint,bo7,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,1,3,ENCE,Fnatic,ENCE,Fnatic,Circuit Royal,Escort,bo7,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,1,4,ENCE,Fnatic,ENCE,Fnatic,Colosseo,Push,bo7,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,1,5,ENCE,Fnatic,Fnatic,ENCE,Eichenwalde,Hybrid,bo7,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,1,6,ENCE,Fnatic,ENCE,Fnatic,Midtown,Hybrid,bo7,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,2,1,Team Falcons,M80,Team Falcons,M80,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,2,2,Team Falcons,M80,Team Falcons,M80,Circuit Royal,Escort,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,2,3,Team Falcons,M80,Team Falcons,M80,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,2,4,Team Falcons,M80,Team Falcons,M80,Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,3,1,Spacestation Gaming,Gaimin Gladiators,Spacestation Gaming,Gaimin Gladiators,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,3,2,Spacestation Gaming,Gaimin Gladiators,Spacestation Gaming,Gaimin Gladiators,Circuit Royal,Escort,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,3,3,Spacestation Gaming,Gaimin Gladiators,Spacestation Gaming,Gaimin Gladiators,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,3,4,Spacestation Gaming,Gaimin Gladiators,Spacestation Gaming,Gaimin Gladiators,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,4,1,Toronto Ultra,LGD.OA,Toronto Ultra,LGD.OA,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,4,2,Toronto Ultra,LGD.OA,Toronto Ultra,LGD.OA,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,4,3,Toronto Ultra,LGD.OA,Toronto Ultra,LGD.OA,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,4,4,Toronto Ultra,LGD.OA,LGD.OA,Toronto Ultra,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 1,2024-07-26,4,5,Toronto Ultra,LGD.OA,Toronto Ultra,LGD.OA,Circuit Royal,Escort,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 2,2024-07-27,5,1,Crazy Raccoon,ENCE,Crazy Raccoon,ENCE,Ilios,Control,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 2,2024-07-27,5,2,Crazy Raccoon,ENCE,Crazy Raccoon,ENCE,Circuit Royal,Escort,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 2,2024-07-27,5,3,Crazy Raccoon,ENCE,Crazy Raccoon,ENCE,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 2,2024-07-27,5,4,Crazy Raccoon,ENCE,Crazy Raccoon,ENCE,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 2,2024-07-27,6,1,Virtus.pro,Team Falcons,Team Falcons,Virtus.pro,Ilios,Control,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
ewc_2024,international,2024,EWC 2024,Week 1,Day 2,2024-07-27,6,2,Virtus.pro,Team Falcons,Team Falcons,Virtus.pro,Shambali Monastery,Escort,bo5,https://liquipedia.net/overwatch/Esports_World_Cup/2024,liquipedia_scraper_draft
