event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 1,2024-06-14,1,1,Spacestation Gaming,Sovereigns,Spacestation Gaming,Sovereigns,Samoa,Control,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 1,2024-06-14,1,2,Spacestation Gaming,Sovereigns,Spacestation Gaming,Sovereigns,Paraiso,Hybrid,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 1,2024-06-14,1,3,Spacestation Gaming,Sovereigns,Spacestation Gaming,Sovereigns,Esperança,Push,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 1,2024-06-14,2,1,Gaimin Gladiators,Twisted Minds,Gaimin Gladiators,Twisted Minds,Oasis,Control,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 1,2024-06-14,2,2,Gaimin Gladiators,Twisted Minds,Gaimin Gladiators,Twisted Minds,Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 1,2024-06-14,2,3,Gaimin Gladiators,Twisted Minds,Gaimin Gladiators,Twisted Minds,Esperança,Push,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 1,2024-06-14,3,1,Virtus.pro,Nu.age,Virtus.pro,Nu.age,Oasis,Control,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 1,2024-06-14,3,2,Virtus.pro,Nu.age,Virtus.pro,Nu.age,Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 1,2024-06-14,3,3,Virtus.pro,Nu.age,Virtus.pro,Nu.age,Esperança,Push,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 2,2024-06-15,4,1,ENCE,Quick Esports,ENCE,Quick Esports,Nepal,Control,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 2,2024-06-15,4,2,ENCE,Quick Esports,ENCE,Quick Esports,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 2,2024-06-15,4,3,ENCE,Quick Esports,ENCE,Quick Esports,Colosseo,Push,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 3,2024-06-16,5,1,Spacestation Gaming,Gaimin Gladiators,Gaimin Gladiators,Spacestation Gaming,Oasis,Control,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 3,2024-06-16,5,2,Spacestation Gaming,Gaimin Gladiators,Gaimin Gladiators,Spacestation Gaming,Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 3,2024-06-16,5,3,Spacestation Gaming,Gaimin Gladiators,Gaimin Gladiators,Spacestation Gaming,Esperanca,Push,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 3,2024-06-16,6,1,Virtus.pro,ENCE,Virtus.pro,ENCE,Oasis,Control,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 3,2024-06-16,6,2,Virtus.pro,ENCE,Virtus.pro,ENCE,Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 3,2024-06-16,6,3,Virtus.pro,ENCE,ENCE,Virtus.pro,Esperança,Push,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 3,2024-06-16,6,4,Virtus.pro,ENCE,ENCE,Virtus.pro,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 1,Day 3,2024-06-16,6,5,Virtus.pro,ENCE,ENCE,Virtus.pro,Shambali Monastery,Escort,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 2,Day 5,2024-06-22,7,1,Gaimin Gladiators,ENCE,ENCE,Gaimin Gladiators,Oasis,Control,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 2,Day 5,2024-06-22,7,2,Gaimin Gladiators,ENCE,ENCE,Gaimin Gladiators,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 2,Day 5,2024-06-22,7,3,Gaimin Gladiators,ENCE,Gaimin Gladiators,ENCE,Esperança,Push,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
faceit_2024_s1_emea_master,emea,2024,Season 1 Master,Week 2,Day 5,2024-06-22,7,4,Gaimin Gladiators,ENCE,Gaimin Gladiators,ENCE,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_1/EMEA/Master,liquipedia_scraper_draft
