event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
faceit_2024_s2_na_master,na,2024,Season 2 Master,Week 1,Day 1,2024-09-13,1,1,Timeless,Shikigami,Timeless,Shikigami,Nepal,Control,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_2/NA/Master,liquipedia_scraper_draft
faceit_2024_s2_na_master,na,2024,Season 2 Master,Week 1,Day 1,2024-09-13,1,2,Timeless,Shikigami,Timeless,Shikigami,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_2/NA/Master,liquipedia_scraper_draft
faceit_2024_s2_na_master,na,2024,Season 2 Master,Week 1,Day 1,2024-09-13,1,3,Timeless,Shikigami,Timeless,Shikigami,Runasapi,Push,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_2/NA/Master,liquipedia_scraper_draft
faceit_2024_s2_na_master,na,2024,Season 2 Master,Week 1,Day 1,2024-09-13,2,1,Citrus Nation,Team Z,Citrus Nation,Team Z,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_2/NA/Master,liquipedia_scraper_draft
faceit_2024_s2_na_master,na,2024,Season 2 Master,Week 1,Day 1,2024-09-13,2,2,Citrus Nation,Team Z,Team Z,Citrus Nation,Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_2/NA/Master,liquipedia_scraper_draft
faceit_2024_s2_na_master,na,2024,Season 2 Master,Week 1,Day 1,2024-09-13,2,3,Citrus Nation,Team Z,Team Z,Citrus Nation,Runasapi,Push,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_2/NA/Master,liquipedia_scraper_draft
faceit_2024_s2_na_master,na,2024,Season 2 Master,Week 1,Day 1,2024-09-13,2,4,Citrus Nation,Team Z,Citrus Nation,Team Z,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_2/NA/Master,liquipedia_scraper_draft
faceit_2024_s2_na_master,na,2024,Season 2 Master,Week 1,Day 1,2024-09-13,2,5,Citrus Nation,Team Z,Citrus Nation,Team Z,Circuit Royal,Escort,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_2/NA/Master,liquipedia_scraper_draft
faceit_2024_s2_na_master,na,2024,Season 2 Master,Week 1,Day 1,2024-09-13,3,1,TSM,Vice (North American team),TSM,Vice (North American team),Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_2/NA/Master,liquipedia_scraper_draft
faceit_2024_s2_na_master,na,2024,Season 2 Master,Week 1,Day 1,2024-09-13,3,2,TSM,Vice (North American team),TSM,Vice (North American team),Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/FACEIT_League/Season_2/NA/Master,liquipedia_scraper_draft
