event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2024_asia_s1_japan,japan,2024,Stage 1,Week 1,Day 2,2024-03-25,1,1,REVATI,VARREL,VARREL,REVATI,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Japan,liquipedia_scraper_draft
owcs_2024_asia_s1_japan,japan,2024,Stage 1,Week 1,Day 2,2024-03-25,1,2,REVATI,VARREL,VARREL,REVATI,Junkertown,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Japan,liquipedia_scraper_draft
owcs_2024_asia_s1_japan,japan,2024,Stage 1,Week 1,Day 2,2024-03-25,1,3,REVATI,VARREL,VARREL,REVATI,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Japan,liquipedia_scraper_draft
owcs_2024_asia_s1_japan,japan,2024,Stage 1,Week 1,Day 2,2024-03-25,2,1,INSOMNIA (Japanese team),SixBlow,SixBlow,INSOMNIA (Japanese team),Nepal,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Japan,liquipedia_scraper_draft
owcs_2024_asia_s1_japan,japan,2024,Stage 1,Week 1,Day 2,2024-03-25,2,2,INSOMNIA (Japanese team),SixBlow,INSOMNIA (Japanese team),SixBlow,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Japan,liquipedia_scraper_draft
owcs_2024_asia_s1_japan,japan,2024,Stage 1,Week 1,Day 2,2024-03-25,2,3,INSOMNIA (Japanese team),SixBlow,INSOMNIA (Japanese team),SixBlow,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Japan,liquipedia_scraper_draft
owcs_2024_asia_s1_japan,japan,2024,Stage 1,Week 1,Day 2,2024-03-25,2,4,INSOMNIA (Japanese team),SixBlow,INSOMNIA (Japanese team),SixBlow,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Japan,liquipedia_scraper_draft
owcs_2024_asia_s1_japan,japan,2024,Stage 1,Week 1,Day 3,2024-03-26,3,1,VARREL,SixBlow,VARREL,SixBlow,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Japan,liquipedia_scraper_draft
owcs_2024_asia_s1_japan,japan,2024,Stage 1,Week 1,Day 3,2024-03-26,3,2,VARREL,SixBlow,VARREL,SixBlow,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Japan,liquipedia_scraper_draft
owcs_2024_asia_s1_japan,japan,2024,Stage 1,Week 1,Day 3,2024-03-26,3,3,VARREL,SixBlow,VARREL,SixBlow,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Japan,liquipedia_scraper_draft
owcs_2024_asia_s1_japan,japan,2024,Stage 1,Week 1,Day 3,2024-03-26,4,1,Insomnia (Japanese team),REVATI,REVATI,Insomnia (Japanese team),Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Japan,liquipedia_scraper_draft
owcs_2024_asia_s1_japan,japan,2024,Stage 1,Week 1,Day 3,2024-03-26,4,2,Insomnia (Japanese team),REVATI,Insomnia (Japanese team),REVATI,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Japan,liquipedia_scraper_draft
