event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 1,2024-04-25,1,1,Team Falcons,DAF,Team Falcons,DAF,Nepal,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 1,2024-04-25,1,2,Team Falcons,DAF,Team Falcons,DAF,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 1,2024-04-25,1,3,Team Falcons,DAF,Team Falcons,DAF,Hollywood,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 1,2024-04-25,2,1,VARREL,YETI (Korean team),YETI (Korean team),VARREL,Nepal,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 1,2024-04-25,2,2,VARREL,YETI (Korean team),YETI (Korean team),VARREL,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 1,2024-04-25,2,3,VARREL,YETI (Korean team),YETI (Korean team),VARREL,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 1,2024-04-25,3,1,From The Gamer,Honeypot,From The Gamer,Honeypot,Oasis,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 1,2024-04-25,3,2,From The Gamer,Honeypot,From The Gamer,Honeypot,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 1,2024-04-25,3,3,From The Gamer,Honeypot,From The Gamer,Honeypot,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 1,2024-04-25,4,1,Insomnia (Japanese team),Crazy Raccoon,Crazy Raccoon,Insomnia (Japanese team),Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 1,2024-04-25,4,2,Insomnia (Japanese team),Crazy Raccoon,Crazy Raccoon,Insomnia (Japanese team),New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 1,2024-04-25,4,3,Insomnia (Japanese team),Crazy Raccoon,Crazy Raccoon,Insomnia (Japanese team),Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 2,2024-04-26,5,1,Team Falcons,YETI (Korean team),Team Falcons,YETI (Korean team),Ilios,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 2,2024-04-26,5,2,Team Falcons,YETI (Korean team),Team Falcons,YETI (Korean team),Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 2,2024-04-26,5,3,Team Falcons,YETI (Korean team),Team Falcons,YETI (Korean team),Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 2,2024-04-26,6,1,From The Gamer,Crazy Raccoon,Crazy Raccoon,From The Gamer,Ilios,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 2,2024-04-26,6,2,From The Gamer,Crazy Raccoon,From The Gamer,Crazy Raccoon,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 2,2024-04-26,6,3,From The Gamer,Crazy Raccoon,Crazy Raccoon,From The Gamer,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 2,2024-04-26,6,4,From The Gamer,Crazy Raccoon,Crazy Raccoon,From The Gamer,Shambali Monastery,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 3,2024-04-27,7,1,Team Falcons,Crazy Raccoon,Crazy Raccoon,Team Falcons,Ilios,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 3,2024-04-27,7,2,Team Falcons,Crazy Raccoon,Crazy Raccoon,Team Falcons,Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 3,2024-04-27,7,3,Team Falcons,Crazy Raccoon,Crazy Raccoon,Team Falcons,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 2,2024-04-26,8,1,DAF,VARREL,DAF,VARREL,Oasis,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 2,2024-04-26,8,2,DAF,VARREL,DAF,VARREL,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 2,2024-04-26,8,3,DAF,VARREL,DAF,VARREL,Route 66,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 2,2024-04-26,9,1,Honeypot,Insomnia (Japanese team),Honeypot,Insomnia (Japanese team),Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 2,2024-04-26,9,2,Honeypot,Insomnia (Japanese team),Honeypot,Insomnia (Japanese team),Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 2,2024-04-26,9,3,Honeypot,Insomnia (Japanese team),Honeypot,Insomnia (Japanese team),Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 3,2024-04-27,10,1,From The Gamer,DAF,DAF,From The Gamer,Ilios,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 3,2024-04-27,10,2,From The Gamer,DAF,From The Gamer,DAF,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 3,2024-04-27,10,3,From The Gamer,DAF,From The Gamer,DAF,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 3,2024-04-27,10,4,From The Gamer,DAF,DAF,From The Gamer,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 3,2024-04-27,10,5,From The Gamer,DAF,From The Gamer,DAF,Shambali Monastery,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 3,2024-04-27,11,1,YETI (Korean team),Honeypot,YETI (Korean team),Honeypot,Ilios,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 3,2024-04-27,11,2,YETI (Korean team),Honeypot,YETI (Korean team),Honeypot,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 3,2024-04-27,11,3,YETI (Korean team),Honeypot,YETI (Korean team),Honeypot,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 3,2024-04-27,12,1,From The Gamer,YETI (Korean team),From The Gamer,YETI (Korean team),Nepal,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 3,2024-04-27,12,2,From The Gamer,YETI (Korean team),From The Gamer,YETI (Korean team),New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
owcs_2024_asia_s1_main,international,2024,Stage 1 Main Event,Week 1,Day 3,2024-04-27,12,3,From The Gamer,YETI (Korean team),From The Gamer,YETI (Korean team),Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Main_Event,liquipedia_scraper_draft
