event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 1,2024-08-30,1,1,Crazy Raccoon,Poker Face,Crazy Raccoon,Poker Face,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 1,2024-08-30,1,2,Crazy Raccoon,Poker Face,Crazy Raccoon,Poker Face,Junkertown,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 1,2024-08-30,1,3,Crazy Raccoon,Poker Face,Crazy Raccoon,Poker Face,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 1,2024-08-30,2,1,ZETA DIVISION,Team Falcons,Team Falcons,ZETA DIVISION,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 1,2024-08-30,2,2,ZETA DIVISION,Team Falcons,ZETA DIVISION,Team Falcons,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 1,2024-08-30,2,3,ZETA DIVISION,Team Falcons,Team Falcons,ZETA DIVISION,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 1,2024-08-30,2,4,ZETA DIVISION,Team Falcons,ZETA DIVISION,Team Falcons,Circuit Royal,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 1,2024-08-30,2,5,ZETA DIVISION,Team Falcons,Team Falcons,ZETA DIVISION,Paraiso,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 2,2024-08-31,3,1,Crazy Raccoon,Team Falcons,Crazy Raccoon,Team Falcons,Nepal,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 2,2024-08-31,3,2,Crazy Raccoon,Team Falcons,Crazy Raccoon,Team Falcons,Shambali Monastery,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 2,2024-08-31,3,3,Crazy Raccoon,Team Falcons,Crazy Raccoon,Team Falcons,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 2,2024-08-31,4,1,ZETA DIVISION,Poker Face,ZETA DIVISION,Poker Face,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 2,2024-08-31,4,2,ZETA DIVISION,Poker Face,Poker Face,ZETA DIVISION,Dorado,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 2,2024-08-31,4,3,ZETA DIVISION,Poker Face,Poker Face,ZETA DIVISION,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 2,2024-08-31,4,4,ZETA DIVISION,Poker Face,ZETA DIVISION,Poker Face,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 2,2024-08-31,4,5,ZETA DIVISION,Poker Face,Poker Face,ZETA DIVISION,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 3,2024-09-01,5,1,Team Falcons,Poker Face,Team Falcons,Poker Face,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 3,2024-09-01,5,2,Team Falcons,Poker Face,Poker Face,Team Falcons,Junkertown,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 3,2024-09-01,5,3,Team Falcons,Poker Face,Poker Face,Team Falcons,Paraiso,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 3,2024-09-01,5,4,Team Falcons,Poker Face,Poker Face,Team Falcons,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 3,2024-09-01,6,1,Crazy Raccoon,ZETA DIVISION,Crazy Raccoon,ZETA DIVISION,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 3,2024-09-01,6,2,Crazy Raccoon,ZETA DIVISION,ZETA DIVISION,Crazy Raccoon,Circuit Royal,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
owcs_2024_asia_s2_korea,korea,2024,Stage 2,Week 1,Day 3,2024-09-01,6,3,Crazy Raccoon,ZETA DIVISION,Crazy Raccoon,ZETA DIVISION,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Korea,liquipedia_scraper_draft
