event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2024_asia_s2_pacific,pacific,2024,Stage 2,Week 1,Day 1,2024-08-08,1,1,Bleed Esports,Goon Squad,Bleed Esports,Goon Squad,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Pacific,liquipedia_scraper_draft
owcs_2024_asia_s2_pacific,pacific,2024,Stage 2,Week 1,Day 1,2024-08-08,1,2,Bleed Esports,Goon Squad,Bleed Esports,Goon Squad,Shambali Monastery,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Pacific,liquipedia_scraper_draft
owcs_2024_asia_s2_pacific,pacific,2024,Stage 2,Week 1,Day 1,2024-08-08,1,3,Bleed Esports,Goon Squad,Bleed Esports,Goon Squad,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Pacific,liquipedia_scraper_draft
owcs_2024_asia_s2_pacific,pacific,2024,Stage 2,Week 1,Day 1,2024-08-08,2,1,Teenage Rising,Cat,Cat,Teenage Rising,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Pacific,liquipedia_scraper_draft
owcs_2024_asia_s2_pacific,pacific,2024,Stage 2,Week 1,Day 1,2024-08-08,2,2,Teenage Rising,Cat,Cat,Teenage Rising,Shambali Monastery,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Pacific,liquipedia_scraper_draft
owcs_2024_asia_s2_pacific,pacific,2024,Stage 2,Week 1,Day 1,2024-08-08,2,3,Teenage Rising,Cat,Cat,Teenage Rising,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Pacific,liquipedia_scraper_draft
owcs_2024_asia_s2_pacific,pacific,2024,Stage 2,Week 2,Day 2,2024-08-15,3,1,FullHouse,Fade Altair,FullHouse,Fade Altair,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Pacific,liquipedia_scraper_draft
owcs_2024_asia_s2_pacific,pacific,2024,Stage 2,Week 2,Day 2,2024-08-15,3,2,FullHouse,Fade Altair,FullHouse,Fade Altair,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Pacific,liquipedia_scraper_draft
owcs_2024_asia_s2_pacific,pacific,2024,Stage 2,Week 2,Day 2,2024-08-15,3,3,FullHouse,Fade Altair,FullHouse,Fade Altair,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Pacific,liquipedia_scraper_draft
owcs_2024_asia_s2_pacific,pacific,2024,Stage 2,Week 2,Day 2,2024-08-15,4,1,99DIVINE,USIA Esports,99DIVINE,USIA Esports,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_2/Pacific,liquipedia_scraper_draft
