event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2024_emea_s2_groups,emea,2024,Stage 2 Groups,Week 1,Day 1,2024-04-12,1,1,Spacestation Gaming,SCHMUNGUS,Spacestation Gaming,SCHMUNGUS,Oasis,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2/Group_Stage,liquipedia_scraper_draft
owcs_2024_emea_s2_groups,emea,2024,Stage 2 Groups,Week 1,Day 1,2024-04-12,1,2,Spacestation Gaming,SCHMUNGUS,Spacestation Gaming,SCHMUNGUS,Hollywood,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2/Group_Stage,liquipedia_scraper_draft
owcs_2024_emea_s2_groups,emea,2024,Stage 2 Groups,Week 1,Day 1,2024-04-12,1,3,Spacestation Gaming,SCHMUNGUS,Spacestation Gaming,SCHMUNGUS,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2/Group_Stage,liquipedia_scraper_draft
owcs_2024_emea_s2_groups,emea,2024,Stage 2 Groups,Week 1,Day 1,2024-04-12,2,1,Ex Oblivione,Supershy,Ex Oblivione,Supershy,Oasis,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2/Group_Stage,liquipedia_scraper_draft
owcs_2024_emea_s2_groups,emea,2024,Stage 2 Groups,Week 1,Day 1,2024-04-12,2,2,Ex Oblivione,Supershy,Supershy,Ex Oblivione,Paraíso,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2/Group_Stage,liquipedia_scraper_draft
owcs_2024_emea_s2_groups,emea,2024,Stage 2 Groups,Week 1,Day 1,2024-04-12,2,3,Ex Oblivione,Supershy,Ex Oblivione,Supershy,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2/Group_Stage,liquipedia_scraper_draft
owcs_2024_emea_s2_groups,emea,2024,Stage 2 Groups,Week 1,Day 1,2024-04-12,2,4,Ex Oblivione,Supershy,Supershy,Ex Oblivione,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2/Group_Stage,liquipedia_scraper_draft
owcs_2024_emea_s2_groups,emea,2024,Stage 2 Groups,Week 1,Day 1,2024-04-12,2,5,Ex Oblivione,Supershy,Ex Oblivione,Supershy,Junkertown,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2/Group_Stage,liquipedia_scraper_draft
owcs_2024_emea_s2_groups,emea,2024,Stage 2 Groups,Week 1,Day 2,2024-04-13,3,1,Spacestation Gaming,Ex Oblivione,Spacestation Gaming,Ex Oblivione,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2/Group_Stage,liquipedia_scraper_draft
owcs_2024_emea_s2_groups,emea,2024,Stage 2 Groups,Week 1,Day 2,2024-04-13,3,2,Spacestation Gaming,Ex Oblivione,Spacestation Gaming,Ex Oblivione,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2/Group_Stage,liquipedia_scraper_draft
