event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2024_emea_s2_main,emea,2024,Stage 2 Main Event,Week 1,Day 1,2024-04-25,1,1,Spacestation Gaming,Team Peps,Spacestation Gaming,Team Peps,Nepal,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2,liquipedia_scraper_draft
owcs_2024_emea_s2_main,emea,2024,Stage 2 Main Event,Week 1,Day 1,2024-04-25,1,2,Spacestation Gaming,Team Peps,Spacestation Gaming,Team Peps,Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2,liquipedia_scraper_draft
owcs_2024_emea_s2_main,emea,2024,Stage 2 Main Event,Week 1,Day 1,2024-04-25,1,3,Spacestation Gaming,Team Peps,Spacestation Gaming,Team Peps,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2,liquipedia_scraper_draft
owcs_2024_emea_s2_main,emea,2024,Stage 2 Main Event,Week 1,Day 1,2024-04-25,2,1,Peace and Love,Deimpero,Peace and Love,Deimpero,Nepal,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2,liquipedia_scraper_draft
owcs_2024_emea_s2_main,emea,2024,Stage 2 Main Event,Week 1,Day 1,2024-04-25,2,2,Peace and Love,Deimpero,Peace and Love,Deimpero,Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2,liquipedia_scraper_draft
owcs_2024_emea_s2_main,emea,2024,Stage 2 Main Event,Week 1,Day 1,2024-04-25,2,3,Peace and Love,Deimpero,Peace and Love,Deimpero,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2,liquipedia_scraper_draft
owcs_2024_emea_s2_main,emea,2024,Stage 2 Main Event,Week 1,Day 1,2024-04-25,3,1,ENCE,Supershy,ENCE,Supershy,Oasis,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2,liquipedia_scraper_draft
owcs_2024_emea_s2_main,emea,2024,Stage 2 Main Event,Week 1,Day 1,2024-04-25,3,2,ENCE,Supershy,ENCE,Supershy,Paraíso,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2,liquipedia_scraper_draft
owcs_2024_emea_s2_main,emea,2024,Stage 2 Main Event,Week 1,Day 1,2024-04-25,3,3,ENCE,Supershy,ENCE,Supershy,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2,liquipedia_scraper_draft
owcs_2024_emea_s2_main,emea,2024,Stage 2 Main Event,Week 1,Day 1,2024-04-25,4,1,Twisted Minds,AWW YEAH,Twisted Minds,AWW YEAH,Oasis,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2,liquipedia_scraper_draft
owcs_2024_emea_s2_main,emea,2024,Stage 2 Main Event,Week 1,Day 1,2024-04-25,4,2,Twisted Minds,AWW YEAH,Twisted Minds,AWW YEAH,Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2,liquipedia_scraper_draft
owcs_2024_emea_s2_main,emea,2024,Stage 2 Main Event,Week 1,Day 1,2024-04-25,4,3,Twisted Minds,AWW YEAH,Twisted Minds,AWW YEAH,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2,liquipedia_scraper_draft
owcs_2024_emea_s2_main,emea,2024,Stage 2 Main Event,Week 1,Day 2,2024-04-26,5,1,Spacestation Gaming,Peace and Love,Spacestation Gaming,Peace and Love,Nepal,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2,liquipedia_scraper_draft
owcs_2024_emea_s2_main,emea,2024,Stage 2 Main Event,Week 1,Day 2,2024-04-26,5,2,Spacestation Gaming,Peace and Love,Spacestation Gaming,Peace and Love,Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2,liquipedia_scraper_draft
owcs_2024_emea_s2_main,emea,2024,Stage 2 Main Event,Week 1,Day 2,2024-04-26,5,3,Spacestation Gaming,Peace and Love,Spacestation Gaming,Peace and Love,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/EMEA/Stage_2,liquipedia_scraper_draft
