event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2024_na_s1_main,na,2024,Stage 1 Main Event,Week 1,Day 1,2024-03-21,1,1,Toronto Defiant,LFO,Toronto Defiant,LFO,Ilios,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1,liquipedia_scraper_draft
owcs_2024_na_s1_main,na,2024,Stage 1 Main Event,Week 1,Day 1,2024-03-21,1,2,Toronto Defiant,LFO,Toronto Defiant,LFO,Hollywood,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1,liquipedia_scraper_draft
owcs_2024_na_s1_main,na,2024,Stage 1 Main Event,Week 1,Day 1,2024-03-21,1,3,Toronto Defiant,LFO,LFO,Toronto Defiant,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1,liquipedia_scraper_draft
owcs_2024_na_s1_main,na,2024,Stage 1 Main Event,Week 1,Day 1,2024-03-21,1,4,Toronto Defiant,LFO,Toronto Defiant,LFO,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1,liquipedia_scraper_draft
owcs_2024_na_s1_main,na,2024,Stage 1 Main Event,Week 1,Day 1,2024-03-21,2,1,Timeless,Pirates in Pyjamas,Pirates in Pyjamas,Timeless,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1,liquipedia_scraper_draft
owcs_2024_na_s1_main,na,2024,Stage 1 Main Event,Week 1,Day 1,2024-03-21,2,2,Timeless,Pirates in Pyjamas,Timeless,Pirates in Pyjamas,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1,liquipedia_scraper_draft
owcs_2024_na_s1_main,na,2024,Stage 1 Main Event,Week 1,Day 1,2024-03-21,2,3,Timeless,Pirates in Pyjamas,Pirates in Pyjamas,Timeless,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1,liquipedia_scraper_draft
owcs_2024_na_s1_main,na,2024,Stage 1 Main Event,Week 1,Day 1,2024-03-21,2,4,Timeless,Pirates in Pyjamas,Timeless,Pirates in Pyjamas,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1,liquipedia_scraper_draft
owcs_2024_na_s1_main,na,2024,Stage 1 Main Event,Week 1,Day 1,2024-03-21,2,5,Timeless,Pirates in Pyjamas,Timeless,Pirates in Pyjamas,Shambali Monastery,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1,liquipedia_scraper_draft
owcs_2024_na_s1_main,na,2024,Stage 1 Main Event,Week 1,Day 1,2024-03-21,3,1,Luminosity Gaming,Shikigami,Luminosity Gaming,Shikigami,Nepal,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1,liquipedia_scraper_draft
