event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 1,Day 1,2024-08-16,1,1,Toronto Defiant,Absolution,Toronto Defiant,Absolution,Nepal,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 1,Day 1,2024-08-16,1,2,Toronto Defiant,Absolution,Toronto Defiant,Absolution,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 1,Day 1,2024-08-16,1,3,Toronto Defiant,Absolution,Toronto Defiant,Absolution,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 1,Day 1,2024-08-16,2,1,Avidity,Timeless Ethereal,Avidity,Timeless Ethereal,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 1,Day 1,2024-08-16,2,2,Avidity,Timeless Ethereal,Avidity,Timeless Ethereal,Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 1,Day 1,2024-08-16,2,3,Avidity,Timeless Ethereal,Avidity,Timeless Ethereal,Shambali Monastery,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 1,Day 2,2024-08-17,3,1,Toronto Defiant,Avidity,Toronto Defiant,Avidity,Nepal,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 1,Day 2,2024-08-17,3,2,Toronto Defiant,Avidity,Toronto Defiant,Avidity,Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 1,Day 2,2024-08-17,3,3,Toronto Defiant,Avidity,Toronto Defiant,Avidity,Dorado,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 1,Day 3,2024-08-18,4,1,Absolution,Timeless Ethereal,Timeless Ethereal,Absolution,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 1,Day 3,2024-08-18,4,2,Absolution,Timeless Ethereal,Timeless Ethereal,Absolution,Shambali Monastery,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 1,Day 3,2024-08-18,4,3,Absolution,Timeless Ethereal,Timeless Ethereal,Absolution,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 2,Day 4,2024-08-24,5,1,Avidity,Timeless Ethereal,Timeless Ethereal,Avidity,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 2,Day 4,2024-08-24,5,2,Avidity,Timeless Ethereal,Timeless Ethereal,Avidity,Dorado,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 2,Day 4,2024-08-24,5,3,Avidity,Timeless Ethereal,Timeless Ethereal,Avidity,Eichenwalde,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 1,Day 1,2024-08-16,6,1,NRG Shock,Tanuki Esports,NRG Shock,Tanuki Esports,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
owcs_2024_na_s3_groups,na,2024,Stage 3 Groups,Week 1,Day 1,2024-08-16,6,2,NRG Shock,Tanuki Esports,NRG Shock,Tanuki Esports,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_3/Group_Stage,liquipedia_scraper_draft
