event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,1,1,Team Falcons,Twisted Minds,Twisted Minds,Team Falcons,Oasis,Control,bo3,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,1,2,Team Falcons,Twisted Minds,Team Falcons,Twisted Minds,New Junk City,Flashpoint,bo3,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,1,3,Team Falcons,Twisted Minds,Team Falcons,Twisted Minds,King's Row,Hybrid,bo3,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,2,1,Spacestation Gaming,NTMR,NTMR,Spacestation Gaming,Oasis,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,2,2,Spacestation Gaming,NTMR,NTMR,Spacestation Gaming,Shambali Monastery,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,3,1,Crazy Raccoon,NRG Shock,Crazy Raccoon,NRG Shock,Ilios,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,3,2,Crazy Raccoon,NRG Shock,Crazy Raccoon,NRG Shock,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,4,1,Toronto Defiant,ENCE,Toronto Defiant,ENCE,Ilios,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,4,2,Toronto Defiant,ENCE,Toronto Defiant,ENCE,Shambali Monastery,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 2,2024-11-23,5,1,Team Falcons,NTMR,Team Falcons,NTMR,Ilios,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 2,2024-11-23,5,2,Team Falcons,NTMR,Team Falcons,NTMR,Shambali Monastery,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 2,2024-11-23,5,3,Team Falcons,NTMR,Team Falcons,NTMR,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 2,2024-11-23,6,1,Crazy Raccoon,Toronto Defiant,Crazy Raccoon,Toronto Defiant,Ilios,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 2,2024-11-23,6,2,Crazy Raccoon,Toronto Defiant,Crazy Raccoon,Toronto Defiant,Hanaoka,Clash,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 2,2024-11-23,6,3,Crazy Raccoon,Toronto Defiant,Crazy Raccoon,Toronto Defiant,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 3,2024-11-24,7,1,Team Falcons,Crazy Raccoon,Team Falcons,Crazy Raccoon,Oasis,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 3,2024-11-24,7,2,Team Falcons,Crazy Raccoon,Team Falcons,Crazy Raccoon,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 3,2024-11-24,7,3,Team Falcons,Crazy Raccoon,Team Falcons,Crazy Raccoon,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,8,1,Twisted Minds,Spacestation Gaming,Spacestation Gaming,Twisted Minds,Oasis,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,8,2,Twisted Minds,Spacestation Gaming,Twisted Minds,Spacestation Gaming,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,8,3,Twisted Minds,Spacestation Gaming,Twisted Minds,Spacestation Gaming,Shambali Monastery,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,8,4,Twisted Minds,Spacestation Gaming,Twisted Minds,Spacestation Gaming,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,9,1,NRG Shock,ENCE,NRG Shock,ENCE,Oasis,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,9,2,NRG Shock,ENCE,NRG Shock,ENCE,Circuit Royal,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
owcs_2024_world_finals,international,2024,World Finals,Week 1,Day 1,2024-11-22,9,3,NRG Shock,ENCE,NRG Shock,ENCE,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/World_Finals,liquipedia_scraper_draft
